"","initial_accuracy","final_accuracy","expected_accuracy","k","N"
"1",0,0.1,0,10,20
"2",0,0,0.05,10,20
"3",0.05,0,0.1,10,20
"4",0.05,0.05,0.15,10,20
"5",0.1,0.05,0.2,10,20
"6",0.1,0.05,0.25,10,20
"7",0.4,0.35,0.3,10,20
"8",0.25,0.1,0.35,10,20
"9",0.6,0.7,0.4,10,20
"10",0.5,0.6,0.45,10,20
"11",0.45,0.3,0.5,10,20
"12",0.55,0.45,0.55,10,20
"13",0.65,0.75,0.6,10,20
"14",0.55,0.65,0.65,10,20
"15",0.7,0.85,0.7,10,20
"16",0.65,0.65,0.75,10,20
"17",0.85,0.9,0.8,10,20
"18",0.85,0.9,0.85,10,20
"19",0.95,0.95,0.9,10,20
"20",0.95,0.95,0.95,10,20
"21",1,0.9,1,10,20
"22",0,0.1,0,10,20
"23",0.1,0.1,0.05,10,20
"24",0.15,0,0.1,10,20
"25",0.15,0.05,0.15,10,20
"26",0.2,0,0.2,10,20
"27",0.25,0.2,0.25,10,20
"28",0.2,0.05,0.3,10,20
"29",0.45,0.2,0.35,10,20
"30",0.35,0.25,0.4,10,20
"31",0.45,0.3,0.45,10,20
"32",0.2,0.15,0.5,10,20
"33",0.4,0.3,0.55,10,20
"34",0.7,0.75,0.6,10,20
"35",0.6,0.75,0.65,10,20
"36",0.7,0.9,0.7,10,20
"37",0.65,0.8,0.75,10,20
"38",0.85,0.95,0.8,10,20
"39",0.95,0.95,0.85,10,20
"40",0.85,0.9,0.9,10,20
"41",0.95,1,0.95,10,20
"42",1,1,1,10,20
"43",0,0.1,0,10,20
"44",0.15,0.05,0.05,10,20
"45",0.2,0.1,0.1,10,20
"46",0.3,0.05,0.15,10,20
"47",0.35,0.1,0.2,10,20
"48",0.2,0.15,0.25,10,20
"49",0.4,0.1,0.3,10,20
"50",0.5,0.2,0.35,10,20
"51",0.35,0.1,0.4,10,20
"52",0.5,0.5,0.45,10,20
"53",0.5,0.2,0.5,10,20
"54",0.5,0.6,0.55,10,20
"55",0.6,0.55,0.6,10,20
"56",0.75,0.9,0.65,10,20
"57",0.6,0.7,0.7,10,20
"58",0.75,0.9,0.75,10,20
"59",0.9,1,0.8,10,20
"60",0.75,0.95,0.85,10,20
"61",0.85,0.95,0.9,10,20
"62",0.9,0.9,0.95,10,20
"63",1,0.95,1,10,20
"64",0,0.1,0,10,20
"65",0,0.15,0.05,10,20
"66",0.05,0.15,0.1,10,20
"67",0.2,0.05,0.15,10,20
"68",0.1,0.15,0.2,10,20
"69",0.45,0.15,0.25,10,20
"70",0.3,0.1,0.3,10,20
"71",0.2,0.05,0.35,10,20
"72",0.25,0.1,0.4,10,20
"73",0.5,0.45,0.45,10,20
"74",0.4,0,0.5,10,20
"75",0.65,0.95,0.55,10,20
"76",0.8,1,0.6,10,20
"77",0.55,0.5,0.65,10,20
"78",0.8,0.95,0.7,10,20
"79",0.8,0.9,0.75,10,20
"80",0.85,0.9,0.8,10,20
"81",0.9,1,0.85,10,20
"82",0.95,0.95,0.9,10,20
"83",1,0.85,0.95,10,20
"84",1,0.95,1,10,20
